symbol,price_usd_per_kg,price_date,price_source,price_source_url,price_basis,purity_or_grade,notes,price_quality,price_window_start,price_window_end
Si,,,,,,,Enter a defensible elemental benchmark; leave blank if unavailable.,excluded,,
Al,3.446403846153846,2026-09-23,Yahoo Finance,https://finance.yahoo.com/quote/ALI%3DF,"CME aluminum futures, USD/metric tonne; converted to USD/kg",Exchange futures contract,"Arithmetic mean of 65 daily Price/Close observations from 2026-06-23 through 2026-09-23; Yahoo Finance futures are a market-price proxy, not a physical spot quotation.",benchmark,2026-06-23,2026-09-23
Fe,0.15736328628938503,2026-09-23,Investing.com daily snapshot,https://www.investing.com/commodities/iron-ore-62-cfr-futures-historical-data?cid=1178177,"Investing.com iron ore fines 62% Fe CFR futures, USD/metric tonne ore; converted to USD/kg contained Fe at stated 62% grade",Iron ore fines 62% Fe CFR futures (TIOc1),"Arithmetic mean of 63 daily Price/Close observations from 2026-06-23 through 2026-09-23; Investing.com daily snapshot futures are a market-price proxy, not a physical spot quotation.",proxy,2026-06-23,2026-09-23
Ni,16.77245662560096,2026-09-23,Investing.com daily snapshot,https://www.investing.com/commodities/nickel-historical-data,"Investing.com nickel futures, USD/metric tonne; converted to USD/kg",Nickel futures contract (NICKELc1),"Arithmetic mean of 65 daily Price/Close observations from 2026-06-23 through 2026-09-23; Investing.com daily snapshot futures are a market-price proxy, not a physical spot quotation.",benchmark,2026-06-23,2026-09-23
Cu,14.188391580731125,2026-09-23,Yahoo Finance,https://finance.yahoo.com/quote/HG%3DF,"COMEX copper futures, USD/lb; converted to USD/kg",Exchange futures contract,"Arithmetic mean of 65 daily Price/Close observations from 2026-06-23 through 2026-09-23; Yahoo Finance futures are a market-price proxy, not a physical spot quotation.",benchmark,2026-06-23,2026-09-23
Zn,3.921765625,2026-09-23,Yahoo Finance,https://finance.yahoo.com/quote/ZNC%3DF,"CME zinc futures, USD/metric tonne; converted to USD/kg",Exchange futures contract,"Arithmetic mean of 64 daily Price/Close observations from 2026-06-23 through 2026-09-23; Yahoo Finance futures are a market-price proxy, not a physical spot quotation.",benchmark,2026-06-23,2026-09-23
Pb,1.8976287747896636,2026-09-23,Investing.com daily snapshot,https://www.investing.com/commodities/lead-historical-data,"Investing.com lead futures, USD/metric tonne; converted to USD/kg",Lead futures contract (MPB3),"Arithmetic mean of 65 daily Price/Close observations from 2026-06-23 through 2026-09-23; Investing.com daily snapshot futures are a market-price proxy, not a physical spot quotation.",benchmark,2026-06-23,2026-09-23
Sn,53.753079365079365,2026-09-23,Investing.com daily snapshot,https://www.investing.com/commodities/tin-historical-data,"Investing.com tin futures, USD/metric tonne; converted to USD/kg",Tin futures contract (TIN),"Arithmetic mean of 63 daily Price/Close observations from 2026-06-23 through 2026-09-23; Investing.com daily snapshot futures are a market-price proxy, not a physical spot quotation.",benchmark,2026-06-23,2026-09-23
Li,,,,,,,Yahoo Finance lithium candidates were compound or non-elemental contracts and were excluded from pure-element comparison.,excluded,,
Co,,,,,,,Yahoo Finance did not provide a validated daily-close series for this element at the run date.,excluded,,
U,,,,,,,Only 1 daily Close observations returned for UX=F in the requested window; excluded rather than treated as a three-month average.,excluded,,
Ag,2008.6500343931798,2026-09-23,Yahoo Finance,https://finance.yahoo.com/quote/SI%3DF,"COMEX silver futures, USD/troy oz; converted to USD/kg",Exchange futures contract,"Arithmetic mean of 65 daily Price/Close observations from 2026-06-23 through 2026-09-23; Yahoo Finance futures are a market-price proxy, not a physical spot quotation.",benchmark,2026-06-23,2026-09-23
Au,137744.03681042857,2026-09-23,Yahoo Finance,https://finance.yahoo.com/quote/GC%3DF,"COMEX gold futures, USD/troy oz; converted to USD/kg",Exchange futures contract,"Arithmetic mean of 65 daily Price/Close observations from 2026-06-23 through 2026-09-23; Yahoo Finance futures are a market-price proxy, not a physical spot quotation.",benchmark,2026-06-23,2026-09-23
Pt,55101.63103156373,2026-09-23,Yahoo Finance,https://finance.yahoo.com/quote/PL%3DF,"NYMEX platinum futures, USD/troy oz; converted to USD/kg",Exchange futures contract,"Arithmetic mean of 65 daily Price/Close observations from 2026-06-23 through 2026-09-23; Yahoo Finance futures are a market-price proxy, not a physical spot quotation.",benchmark,2026-06-23,2026-09-23
